,station_name,station_lat,station_lng,Sat_inflow,Sat_outflow,Sun_inflow,Sun_outflow,Mon_inflow,Mon_outflow,Tues_inflow,Tues_outflow,Wed_inflow,Wed_outflow,Thur_inflow,Thur_outflow,Fri_inflow,Fri_outflow
98,Suffolk St & Stanton St,40.72066442,-73.98517977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Greenwich Ave & Charles St,40.735238,-74.000271,5.213368055555557,5.1975694444444445,4.871180555555555,4.704166666666667,5.193229166666666,5.141840277777778,5.268229166666667,5.286458333333334,5.157291666666667,5.195486111111111,5.919791666666668,5.761979166666666,6.11579861111111,6.0687500000000005
100,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,W 26 St & 8 Ave,40.74734825,-73.99723551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,35 St & Broadway,40.760339,-73.9222427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,E 10 St & Avenue A,40.72740794,-73.98142006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Division St & Bowery,40.71413089,-73.9970468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Central Park West & W 102 St,40.795346,-73.96186,1.2425347222222223,1.3199652777777777,1.0958333333333332,1.0,1.1015625,1.2463541666666669,1.0069444444444444,1.1633680555555554,0.954513888888889,1.0609375,1.0210069444444445,1.2848958333333333,1.217013888888889,1.3972222222222221
106,Lexington Ave & E 63 St,40.76440023,-73.96648977,1.4857638888888889,1.493576388888889,2.05625,2.1168402777777775,2.165277777777778,2.206076388888889,2.3352430555555554,2.304861111111111,2.186458333333334,2.1338541666666666,2.023263888888889,2.028298611111111,1.5890625,1.5612847222222221
107,Prospect Pl & 6 Ave,40.6793307,-73.97519523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,S Portland Ave & Atlantic Ave,40.68322254161595,-73.9738118648529,0.0,0.0,0.0,0.0,0.0062499999999999995,0.007638888888888889,0.008333333333333333,0.009722222222222222,0.0020833333333333333,0.0006944444444444445,0.0,0.0,0.0,0.0
109,Flushing Ave & Vanderbilt Ave,40.69795031569544,-73.97077560424805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,W 20 St & 8 Ave,40.74345335,-74.00004031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,W 106 St & Central Park West,40.7981856,-73.9605909006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,E 2 St & Avenue C,40.7208736,-73.98085795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,W 37 St & 5 Ave,40.75038009,-73.98338988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Lafayette Ave & St James Pl,40.68851534,-73.9647628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Broadway & W 36 St,40.75097711,-73.98765428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,3 St & 7 Ave,40.6703837,-73.97839676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
